instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange,clean_symbol
NSE_EQ|INE020B01018,15355,RECLTD,REC LIMITED,346.9,,,0.05,1.0,EQUITY,,NSE_EQ,RECLTD
NSE_EQ|INE685A01028,3518,TORNTPHARM,TORRENT PHARMACEUTICALS L,4078.0,,,0.1,1.0,EQUITY,,NSE_EQ,TORNTPHARM
NSE_EQ|INE647A01010,3273,SRF,SRF LTD,2833.4,,,0.1,1.0,EQUITY,,NSE_EQ,SRF
NSE_EQ|INE491A01021,5701,CUB,CITY UNION BANK LTD,284.1,,,0.05,1.0,EQUITY,,NSE_EQ,CUB
NSE_EQ|INE860A01027,7229,HCLTECH,HCL TECHNOLOGIES LTD,1455.2,,,0.1,1.0,EQUITY,,NSE_EQ,HCLTECH
NSE_EQ|INE0BS701011,25049,PREMIERENE,PREMIER ENERGIES LIMITED,759.2,,,0.05,1.0,EQUITY,,NSE_EQ,PREMIERENE
NSE_EQ|INE00H001014,27066,SWIGGY,SWIGGY LIMITED,337.65,,,0.05,1.0,EQUITY,,NSE_EQ,SWIGGY
NSE_EQ|INE178A01016,2049,CHENNPETRO,CHENNAI PETROLEUM CORP LT,879.0,,,0.05,1.0,EQUITY,,NSE_EQ,CHENNPETRO
NSE_EQ|INE457A01014,11377,MAHABANK,BANK OF MAHARASHTRA,65.44,,,0.01,1.0,EQUITY,,NSE_EQ,MAHABANK
NSE_EQ|INE891D01026,14255,REDINGTON,REDINGTON LIMITED,262.75,,,0.05,1.0,EQUITY,,NSE_EQ,REDINGTON
NSE_EQ|INE671H01015,13826,SOBHA,SOBHA LIMITED,1524.9,,,0.1,1.0,EQUITY,,NSE_EQ,SOBHA
NSE_EQ|INE278Y01022,9362,CAMPUS,CAMPUS ACTIVEWEAR LIMITED,272.8,,,0.05,1.0,EQUITY,,NSE_EQ,CAMPUS
NSE_EQ|INE171A01029,1023,FEDERALBNK,FEDERAL BANK LTD,288.3,,,0.05,1.0,EQUITY,,NSE_EQ,FEDERALBNK
NSE_EQ|INE976G01028,18391,RBLBANK,RBL BANK LIMITED,313.8,,,0.05,1.0,EQUITY,,NSE_EQ,RBLBANK
NSE_EQ|INE262H01021,18365,PERSISTENT,PERSISTENT SYSTEMS LTD,5479.0,,,0.5,1.0,EQUITY,,NSE_EQ,PERSISTENT
NSE_EQ|INE084A01016,4745,BANKINDIA,BANK OF INDIA,161.79,,,0.01,1.0,EQUITY,,NSE_EQ,BANKINDIA
NSE_EQ|INE775A01035,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,131.26,,,0.01,1.0,EQUITY,,NSE_EQ,MOTHERSON
NSE_EQ|INE217B01036,1808,KAJARIACER,KAJARIA CERAMICS LTD,939.95,,,0.05,1.0,EQUITY,,NSE_EQ,KAJARIACER
NSE_EQ|INE878B01027,13310,KEI,KEI INDUSTRIES LTD.,4566.8,,,0.1,1.0,EQUITY,,NSE_EQ,KEI
NSE_EQ|INE325A01013,14198,TIMKEN,TIMKEN INDIA LTD.,3062.8,,,0.1,1.0,EQUITY,,NSE_EQ,TIMKEN
NSE_EQ|INE741K01010,4421,CREDITACC,CREDITACCESS GRAMEEN LTD,1270.0,,,0.1,1.0,EQUITY,,NSE_EQ,CREDITACC
NSE_EQ|INE018E01016,17971,SBICARD,SBI CARDS & PAY SER LTD,760.7,,,0.05,1.0,EQUITY,,NSE_EQ,SBICARD
NSE_EQ|INE0LXG01040,24777,OLAELEC,OLA ELECTRIC MOBILITY LTD,30.89,,,0.01,1.0,EQUITY,,NSE_EQ,OLAELEC
NSE_EQ|INE776C01039,13528,GMRAIRPORT,GMR AIRPORTS LIMITED,94.03,,,0.01,1.0,EQUITY,,NSE_EQ,GMRAIRPORT
NSE_EQ|INE417T01026,6656,POLICYBZR,PB FINTECH LIMITED,1523.8,,,0.1,1.0,EQUITY,,NSE_EQ,POLICYBZR
NSE_EQ|INE068V01023,1186,GLAND,GLAND PHARMA LIMITED,1780.8,,,0.1,1.0,EQUITY,,NSE_EQ,GLAND
NSE_EQ|INE115Q01022,28125,IKS,INVENTURUS KNOWLEDGE SO L,1640.5,,,0.1,1.0,EQUITY,,NSE_EQ,IKS
NSE_EQ|INE602A01031,2649,PCBL,PCBL CHEMICAL LIMITED,301.2,,,0.05,1.0,EQUITY,,NSE_EQ,PCBL
NSE_EQ|INE2KCE01013,760948,KWIL,KWALITY WALL'S (INDIA) L,0.0,,,0.01,1.0,EQUITY,,NSE_EQ,KWIL
NSE_EQ|INE879I01012,18124,DBREALTY,VALOR ESTATE LIMITED,124.77,,,0.01,1.0,EQUITY,,NSE_EQ,DBREALTY
NSE_EQ|INE415G01027,9552,RVNL,RAIL VIKAS NIGAM LIMITED,308.95,,,0.05,1.0,EQUITY,,NSE_EQ,RVNL
NSE_EQ|INE791I01019,15184,BRIGADE,BRIGADE ENTER. LTD,762.95,,,0.05,1.0,EQUITY,,NSE_EQ,BRIGADE
NSE_EQ|INE821I01022,15313,IRB,IRB INFRA DEV LTD.,44.02,,,0.01,1.0,EQUITY,,NSE_EQ,IRB
NSE_EQ|INE323A01026,2181,BOSCHLTD,BOSCH LIMITED,35695.0,,,5.0,1.0,EQUITY,,NSE_EQ,BOSCHLTD
NSE_EQ|INE320J01015,3761,RITES,RITES LIMITED,218.66,,,0.01,1.0,EQUITY,,NSE_EQ,RITES
NSE_EQ|INE182A01018,2643,PFIZER,PFIZER LTD,5037.4,,,0.1,1.0,EQUITY,,NSE_EQ,PFIZER
NSE_EQ|INE548C01032,13517,EMAMILTD,EMAMI LIMITED,489.6,,,0.05,1.0,EQUITY,,NSE_EQ,EMAMILTD
NSE_EQ|INE214T01019,17818,LTIM,LTIMINDTREE LIMITED,5115.5,,,0.5,1.0,EQUITY,,NSE_EQ,LTIM
NSE_EQ|INE176B01034,9819,HAVELLS,HAVELLS INDIA LIMITED,1404.0,,,0.1,1.0,EQUITY,,NSE_EQ,HAVELLS
NSE_EQ|INE404A01024,6018,ABSLAMC,ADIT BIRL SUN LIF AMC LTD,869.25,,,0.05,1.0,EQUITY,,NSE_EQ,ABSLAMC
NSE_EQ|INE545U01014,2263,BANDHANBNK,BANDHAN BANK LIMITED,165.44,,,0.01,1.0,EQUITY,,NSE_EQ,BANDHANBNK
NSE_EQ|INE152A01029,3475,THERMAX,THERMAX LTD,2886.7,,,0.1,1.0,EQUITY,,NSE_EQ,THERMAX
